architecture,gender,ar,bg,bn,cs,da,de,el,en,es,et,fa,fi,fr,ga,hi,hr,hu,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,sw,th,tk,tr,uk,vi,zh,zh-cn
optispeech,female,,,,,,,,0.9999086670626223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
optispeech,male,,,,,,,,0.9968613151540148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overflow,female,,,,,,,,0.6690740493172396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overflow,male,,,,,,,,0.6459606373839331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parler_tts_large_v1,female,,,,,,,,0.9857588010678688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parler_tts_large_v1,male,,,,,,,,0.9965276646614075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parler_tts_mini_v0.1,female,,,,,,,,0.977151502407156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parler_tts_mini_v0.1,male,,,,,,,,0.974498216104228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parler_tts_mini_v1,female,,,,,,,,0.984566229338035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parler_tts_mini_v1,male,,,,,,,,0.9779055430833146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speedy-speech,female,,,,,,,,0.009032191003446311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speedy-speech,male,,,,,,,,0.017705454957623858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suno/bark,female,,,,,,,,0.8365529035781849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suno/bark,male,,,,,,,,0.8326083641100958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suno/bark-small,female,,,,,,,,0.5915814882741648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suno/bark-small,male,,,,,,,,0.6155535741323667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tacotron-DDC,female,,,,,,,,0.008839691609309447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
